Day,Student,isAttendance
day1,032002118,0,032002918,0,032002104,1,032002749,1,032002261,0,032002571,1,032002650,0,032002964,0,032002791,0
day2,032002921,1,032002510,1,032002843,1,032002912,1,032002833,0,032002477,0,032002374,1,032002260,1,032002170,1
day3,032002118,0,032002918,0,032002261,1,032002650,1,032002964,0,032002791,0,032002833,0,032002477,0
day4,032002118,0,032002918,1,032002261,0,032002650,1,032002964,0,032002791,0,032002833,0,032002477,0
day5,032002477,1,032002833,1,032002791,0,032002964,0,032002650,1,032002261,1,032002918,0,032002118,0
day6,032002477,0,032002833,0,032002791,1,032002964,0,032002261,0,032002918,1,032002118,1
day7,032002477,0,032002833,0,032002791,0,032002964,0,032002261,0,032002918,0,032002118,0
day8,032002477,1,032002833,0,032002791,0,032002964,0,032002261,0,032002918,0,032002118,0
day9,032002477,1,032002833,1,032002791,0,032002964,0,032002261,0,032002918,0,032002118,0
day10,032002477,0,032002833,0,032002791,0,032002964,0,032002261,0,032002918,0,032002118,0
day11,032002477,1,032002833,0,032002791,0,032002964,0,032002261,1,032002918,0,032002118,0
day12,032002477,0,032002833,0,032002791,0,032002964,1,032002261,0,032002918,0,032002118,0
day13,032002477,0,032002833,0,032002791,0,032002964,1,032002261,1,032002918,1,032002118,1
day14,032002477,0,032002833,0,032002791,1,032002964,0,032002261,0,032002918,0,032002118,0
day15,032002477,0,032002833,1,032002791,0,032002964,0,032002261,0,032002918,0,032002118,0
day16,032002477,0,032002833,0,032002791,0,032002964,1,032002261,0,032002918,0,032002118,0
day17,032002477,0,032002833,0,032002791,1,032002964,0,032002261,0,032002918,1,032002118,0
day18,032002477,0,032002833,0,032002791,0,032002964,0,032002261,0,032002918,0,032002118,1
day19,032002477,0,032002833,1,032002791,0,032002964,0,032002261,0,032002918,0,032002118,0
day20,032002477,0,032002833,0,032002791,1,032002964,1,032002261,0,032002918,0,032002118,0
