Day,Student,isAttendance
day1,032002887,1,032002280,0,032002179,0,032002743,0,032002410,0,032002545,1,032002107,1,032002340,1,032002617,1,032002713,1,032002445,1,032002924,1,032002872,1,032002257,1,032002496,1,032002786,1,032002143,1,032002114,1
day2,032002280,0,032002179,0,032002743,1,032002410,1
day3,032002280,0,032002179,0,032002743,0,032002410,0
day4,032002410,0,032002743,0,032002179,1,032002280,1
day5,032002410,0,032002743,0,032002179,0,032002280,0
day6,032002410,0,032002743,0,032002179,0,032002280,0
day7,032002410,0,032002743,0,032002179,0,032002280,0
day8,032002410,0,032002743,0,032002179,1,032002280,0
day9,032002410,0,032002743,1,032002179,0,032002280,0
day10,032002410,0,032002743,0,032002179,0,032002280,0
day11,032002410,0,032002743,0,032002179,0,032002280,1
day12,032002410,1,032002743,0,032002179,0,032002280,0
day13,032002410,0,032002743,0,032002179,1,032002280,0
day14,032002410,0,032002743,1,032002179,0,032002280,1
day15,032002410,0,032002743,0,032002179,0,032002280,0
day16,032002410,0,032002743,0,032002179,0,032002280,0
day17,032002410,1,032002743,0,032002179,0,032002280,1
day18,032002410,1,032002743,1,032002179,0,032002280,0
day19,032002410,0,032002743,0,032002179,0,032002280,0
day20,032002410,0,032002743,0,032002179,1,032002280,0
