Day,Student,isAttendance
day1,032002997,1,032002171,1,032002792,0,032002675,0,032002553,1,032002933,0,032002105,1,032002723,1,032002662,1
day2,032002328,1,032002786,1,032002341,1,032002518,0,032002791,0,032002490,1,032002427,0,032002612,1,032002666,1
day3,032002792,0,032002675,0,032002933,0,032002518,1,032002791,1,032002427,0
day4,032002792,1,032002675,0,032002933,1,032002518,0,032002791,0,032002427,0
day5,032002427,0,032002791,0,032002518,0,032002933,1,032002675,0,032002792,0
day6,032002427,0,032002791,1,032002518,0,032002933,0,032002675,0,032002792,0
day7,032002427,1,032002791,0,032002518,0,032002933,0,032002675,0,032002792,1
day8,032002427,0,032002791,1,032002518,0,032002933,1,032002675,0,032002792,1
day9,032002427,0,032002791,0,032002518,0,032002933,0,032002675,0,032002792,0
day10,032002427,0,032002791,0,032002518,0,032002933,0,032002675,0,032002792,0
day11,032002427,0,032002791,0,032002518,0,032002933,0,032002675,0,032002792,0
day12,032002427,1,032002791,1,032002518,0,032002933,0,032002675,0,032002792,1
day13,032002427,0,032002791,0,032002518,1,032002933,0,032002675,0,032002792,0
day14,032002427,1,032002791,0,032002518,0,032002933,0,032002675,1,032002792,0
day15,032002427,0,032002791,0,032002518,0,032002933,0,032002675,0,032002792,0
day16,032002427,0,032002791,0,032002518,0,032002933,0,032002675,0,032002792,0
day17,032002427,0,032002791,0,032002518,0,032002933,0,032002675,1,032002792,0
day18,032002427,0,032002791,0,032002518,1,032002933,0,032002675,0,032002792,0
day19,032002427,1,032002791,0,032002518,1,032002933,0,032002675,1,032002792,0
day20,032002427,0,032002791,0,032002518,0,032002933,0,032002675,0,032002792,0
