Day,Student,isAttendance
day1,032002128,1,032002467,0,032002439,0,032002668,1,032002711,0,032002563,0,032002831,0,032002577,1,032002517,1
day2,032002558,1,032002536,1,032002125,1,032002189,1,032002988,1,032002874,1,032002688,1,032002733,1,032002883,1
day3,032002467,1,032002439,0,032002711,0,032002563,0,032002831,1
day4,032002467,1,032002439,1,032002711,1,032002563,0,032002831,0
day5,032002831,0,032002563,0,032002711,0,032002439,0,032002467,1
day6,032002831,0,032002563,0,032002711,0,032002439,0
day7,032002831,0,032002563,1,032002711,1,032002439,0
day8,032002831,0,032002563,0,032002711,0,032002439,1
day9,032002831,0,032002563,0,032002711,0,032002439,0
day10,032002831,0,032002563,1,032002711,0,032002439,0
day11,032002831,1,032002563,0,032002711,0,032002439,1
day12,032002831,0,032002563,0,032002711,0,032002439,0
day13,032002831,1,032002563,0,032002711,1,032002439,0
day14,032002831,0,032002563,0,032002711,0,032002439,0
day15,032002831,0,032002563,0,032002711,0,032002439,0
day16,032002831,0,032002563,0,032002711,0,032002439,0
day17,032002831,0,032002563,0,032002711,0,032002439,0
day18,032002831,1,032002563,1,032002711,1,032002439,0
day19,032002831,0,032002563,0,032002711,0,032002439,1
day20,032002831,0,032002563,0,032002711,0,032002439,0
