学号,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
032002306,男,22,0.4427426783980537,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
032002492,女,20,0.72955223326363,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
032002787,女,21,1.1784459765184134,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
032002666,男,23,1.3371585941240876,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
032002249,男,20,1.3608743514161572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002985,女,20,1.6245537654215638,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
032002657,女,23,1.6332101795766734,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
032002986,女,22,1.6849703941033263,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
032002650,女,21,1.6884448871798077,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
032002288,男,22,1.7430587873586036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002845,男,20,1.7763784694606235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002591,女,22,1.7940217010542103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002762,男,20,1.8157608818330337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002793,女,22,1.8365966020007907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002824,女,22,1.8899751330014378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002431,女,20,1.892879852751911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002411,女,23,1.9185077758048568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002182,男,23,1.943640270182207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002695,女,21,1.979641245498962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002720,男,20,2.1033191511224483,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002562,男,20,2.1040150166606315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002887,男,22,2.1234655551248247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
032002373,男,21,2.134493891366796,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
032002823,女,21,2.1357537603758647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002761,女,21,2.1588176667558447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002404,男,23,2.1870205177378637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002151,女,20,2.199824826420892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002898,男,22,2.219589238482303,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002850,女,20,2.2282163523215104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002918,男,21,2.2378417068567495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002256,男,21,2.270524545440912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002520,女,20,2.2947628967513207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002957,男,21,2.2948413760872026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002178,男,22,2.3719854917906646,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002884,女,21,2.373232741613128,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
032002752,男,22,2.3944237421048262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002515,女,23,2.4026628558383085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002806,女,22,2.4147035986081353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002216,男,22,2.4376593984730075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002232,男,20,2.4479928317074626,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
032002654,男,22,2.4498253753129138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
032002617,男,20,2.4748883682258254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002809,男,23,2.512734659348375,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
032002729,男,22,2.5311563351053454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
032002876,男,21,2.5624409109134074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002386,男,21,2.5803391202767076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002821,女,22,2.587826119729232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002948,女,23,2.6094956221206944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002802,男,22,2.66066737691367,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002312,男,23,2.6815656331927737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002444,女,23,2.6890588848952306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002760,男,21,2.7099602512713887,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002655,女,20,2.7180265078732613,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002969,男,20,2.7408257496301514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
032002757,男,21,2.7598260461732975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002847,女,20,2.775000024012381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
032002527,女,22,2.77663686063218,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
032002322,女,20,2.787483832544909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002934,女,20,2.7920104019371643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002708,女,21,2.811465343411596,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
032002365,男,21,2.836033411371969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002238,女,20,2.838969701577881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002191,男,20,2.8396385905264134,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002835,男,22,2.850569528739515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002989,男,22,2.853796957184524,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
032002127,女,21,2.8641348541281135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002872,男,21,2.9055658104249713,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002664,男,23,2.959635644668014,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002775,男,23,2.971274637014278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002911,女,20,2.9972358739091765,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002859,男,23,3.0057009238233396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002427,女,22,3.0482257174399736,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002777,女,21,3.076556558453407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002302,女,23,3.0852117085501862,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
032002916,女,21,3.0970046616945255,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
032002483,男,23,3.103159682746098,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
032002751,男,22,3.109195846084664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002715,男,21,3.149021961249195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002849,女,21,3.1518216754889936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002927,男,23,3.210222250846699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002644,男,23,3.2297290528928992,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002223,男,20,3.2456155350009857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002130,女,21,3.3465677645035488,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
032002474,男,22,3.3685369653445014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002959,男,21,3.401344721062234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002116,男,23,3.408840329891639,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002552,男,23,3.5012628907179693,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002997,女,20,3.5149731027831175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002858,男,23,3.583752863576794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002120,男,23,3.6491336347040684,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
