学号,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
032002224,男,23,1.214065916852758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002180,女,23,1.3557171074654575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002871,女,20,1.604580787071222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
032002846,男,23,1.66840758747471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002275,男,20,1.7176591738575904,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
032002880,女,22,1.7635415635550602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002887,女,23,1.770448227123215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002511,女,23,1.8244628274116725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002798,女,21,1.8782662639337122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002336,男,20,1.9123243428620862,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
032002452,女,21,1.9191870138854834,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
032002406,男,20,1.9868784104837702,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
032002334,女,23,2.07924558892074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
032002442,女,23,2.086450182212008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002189,女,23,2.102550215215844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002114,男,21,2.1061802167105697,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
032002589,男,20,2.116535396811119,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002244,男,21,2.1400079022925995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002376,女,23,2.1584229914780395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
032002676,女,23,2.227271153799321,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002898,女,22,2.2355255801021015,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
032002563,女,22,2.2859637825551116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002237,女,23,2.3193748034275954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002567,女,21,2.371824611397382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002978,男,20,2.378971629140628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002164,男,20,2.3879135553821955,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
032002258,男,23,2.3909258400297673,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
032002840,女,20,2.393770087887644,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002261,男,23,2.4169347534337215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002149,男,23,2.4309434820504894,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
032002351,男,23,2.4499221042401262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002481,女,22,2.4605447786761374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002794,女,22,2.4832305782817277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002524,女,23,2.502543440768611,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002272,女,20,2.503949551482374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
032002498,女,20,2.5265378644409617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002463,女,21,2.531414443769584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002682,男,22,2.5486810209088095,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
032002386,男,23,2.576735836641221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
032002157,女,23,2.630479468008423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002849,女,22,2.656917412756181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002462,男,20,2.660036568647275,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
032002667,男,21,2.700045145283596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002575,女,20,2.7016032957444365,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
032002577,女,20,2.701873106756081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002700,男,20,2.7035702258724896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002357,女,23,2.72000227421277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
032002641,女,21,2.737370520011594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002204,女,21,2.7840510691131164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002205,男,21,2.792568012477447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002748,女,22,2.7929813074003613,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
032002732,女,23,2.830486576071796,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002358,男,21,2.834014352587786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002472,女,20,2.9353179882073337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002424,男,20,2.9374664638240526,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002728,男,21,2.9665598837768763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002454,男,23,2.9726925353275124,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
032002324,男,20,3.023561744453329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002993,女,22,3.02726308166027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002963,女,21,3.0735467927392017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002841,女,20,3.081731393074661,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002403,女,20,3.0944988357433214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002805,男,22,3.108507802418911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002775,女,22,3.115495022270077,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002507,女,21,3.135503562099766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002450,男,21,3.1360659173098133,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002864,男,20,3.138485449262601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002766,女,21,3.1523724058273275,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
032002231,男,21,3.156928619025709,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
032002995,女,21,3.1985956359850736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002480,男,21,3.2053958174008828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002679,男,21,3.240219462586029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002968,男,20,3.2463896849957568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002956,男,21,3.251352016894163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002155,女,21,3.270035642030547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002819,女,23,3.2831128395883176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002771,男,23,3.3113377539335445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
032002345,男,22,3.4276424196720767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002483,女,20,3.5000751737332676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002977,女,21,3.502243393084443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002630,男,21,3.5488873068452085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002769,男,20,3.5893215919994264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002456,男,22,3.677271413673558,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
032002417,男,23,3.7002093002504717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002218,男,22,3.7191711978401236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002858,女,21,3.72257023710908,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
032002918,女,22,3.801408407406146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002296,男,22,3.8341162001726987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002615,女,21,3.9154724231902285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002459,男,21,3.9683395937948407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
