学号,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
032002223,女,20,1.1326317956892187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002600,男,23,1.4739023374833173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002454,男,21,1.5580273656833925,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
032002815,男,22,1.6129739744331744,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
032002620,男,22,1.6986297437596536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002530,女,21,1.703069668010269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
032002571,男,22,1.7794767640567748,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
032002466,女,20,1.794236891575288,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
032002444,男,22,1.9087632796255876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
032002569,女,23,1.925383269968867,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
032002666,女,20,1.946307508240982,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
032002777,女,20,2.0419558402948876,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
032002276,女,23,2.0816907733156267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002505,女,21,2.0888086488795237,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002113,男,23,2.1038564850954735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002215,男,22,2.12822753184364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002637,男,20,2.1481779279071302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002441,男,22,2.16480334862803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002303,女,20,2.177024920240436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002359,男,21,2.17723820144471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002152,男,21,2.202881268219064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002525,男,22,2.222571918087449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
032002154,男,20,2.285064252926363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
032002157,女,23,2.291176386342764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
